,Aircraft,Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Cabin_Staff_Service,Food_Beverages,Inflight_Entertainment,Ground_Service,Wifi_Connectivity,Value_For_Money,Recommended
1069,,Family Leisure,Economy Class,Cape Town to Sao Paulo via Istanbul,January 2019,3,3,3,4,3,,2,no
1070,,Solo Leisure,Economy Class,New York to Istanbul via Skopje,January 2019,4,4,3,3,1,1,3,no
1071,A330/B777,Solo Leisure,Economy Class,Riyadh to Manila via Istanbul,December 2018,5,5,5,3,4,3,3,yes
1072,,Solo Leisure,Economy Class,Belgrade to Kiev via Istanbul,May 2018,5,5,4,4,4,2,2,yes
1073,A330 / Boeing 777,Solo Leisure,Economy Class,London to Bangkok via Istanbul,January 2019,3,4,4,5,3,,5,yes
1074,,Family Leisure,Economy Class,Istanbul to Paris,December 2018,2,3,3,3,1,1,1,no
1075,,Family Leisure,Economy Class,Atlanta to Addis Ababa via Istanbul,December 2018,2,2,2,1,1,1,1,no
1076,,Solo Leisure,Economy Class,Washington to Addis Ababa via Istanbul,November 2018,1,1,1,1,1,1,1,no
1077,,Solo Leisure,Economy Class,Khartoum to Amsterdam via Istanbul,January 2019,2,2,,1,1,,1,no
1078,,Business,Economy Class,Berlin to Erbil via Istanbul,December 2018,3,3,2,3,1,,2,no
1079,,Family Leisure,Economy Class,London Gatwick to Tashkent via Istanbul,December 2018,2,1,2,1,1,,1,no
1080,,Couple Leisure,Economy Class,Amsterdam to Abu Dhabi via Istanbul,December 2018,3,1,3,3,1,2,3,no
1081,A330-300,Family Leisure,Economy Class,Istanbul to Johannesburg,December 2018,1,1,1,2,1,,1,no
1082,,Family Leisure,Business Class,Johannesburg to Istanbul,January 2019,5,5,5,4,5,5,5,yes
1083,Boeing 777-300ER,Solo Leisure,Business Class,Taipei to Sao Paulo via Istanbul,December 2018,2,1,1,2,1,1,1,no
1084,,Family Leisure,Economy Class,Chicago to Athens via Istanbul,December 2018,2,1,1,1,1,,1,no
1085,Boeing 777-300er,Solo Leisure,Business Class,London to Bangkok via Istanbul,December 2018,5,2,1,4,4,,3,no
1086,,Business,Economy Class,Vienna to Riyadh via Istanbul,December 2018,2,4,4,3,1,,2,no
1087,,Family Leisure,Economy Class,Istanbul to Abuja,December 2018,1,1,1,3,1,1,1,no
1088,,Couple Leisure,Economy Class,Brussels to Istanbul via Beirut,December 2018,3,2,3,3,1,1,1,no
1089,,Solo Leisure,Economy Class,Paris to Dar es Salaam via Istanbul,December 2018,1,2,2,1,1,,1,no
1090,,Business,Business Class,Vienna to San Francisco via Istanbul,November 2018,4,5,4,3,2,,3,no
1091,Boeing 777-300,Solo Leisure,Economy Class,Istanbul to Los Angeles,December 2018,2,1,2,3,1,2,1,no
1092,Boeing 737-800,Business,Business Class,Istanbul to Baku,December 2018,5,5,5,5,3,,5,yes
1093,Boeing 777-300ER,Solo Leisure,Economy Class,Istanbul Atatürk to Izmir Adnan Menderes,May 2018,5,5,5,,5,,5,yes
1094,A330,Solo Leisure,Economy Class,Istanbul to Bangkok,November 2018,3,3,4,3,3,3,3,no
1095,,Solo Leisure,Economy Class,Toronto to Cairo via Istanbul,November 2018,3,3,3,4,1,1,1,no
1096,Boeing 737,Solo Leisure,Economy Class,Ankara to Frankfurt,December 2018,3,2,2,3,2,,3,no
1097,Boeing 737,Business,Economy Class,FRA to ESB,November 2018,3,4,3,1,3,,4,yes
1098,A319-200 / A330-300,Couple Leisure,Economy Class,Ankara to Amsterdam via Istanbul,November 2018,2,3,3,5,1,,2,no
1099,,Couple Leisure,Economy Class,San Francisco to Mashhad  via Istanbul,November 2018,1,1,,,1,,1,no
1100,A330-200/300,Couple Leisure,Economy Class,Amsterdam to Havana via Istanbul,November 2018,4,3,5,5,3,4,5,yes
1101,Boeing 737 / A330,Family Leisure,Economy Class,Dublin to Phuket via Istanbul,September 2018,2,1,1,2,1,1,1,no
1102,A330-200,Couple Leisure,Business Class,Amsterdam to Ankara via Istanbul,November 2018,5,4,5,3,1,,2,yes
1103,A330,Family Leisure,Economy Class,Istanbul to Beirut,November 2018,2,2,2,1,1,,1,no
1104,,Solo Leisure,Economy Class,Manchester to Manila via Istanbul,November 2018,4,1,1,5,2,,3,no
1105,,Solo Leisure,Economy Class,London to Kigali via Istanbul,November 2018,4,3,3,3,1,1,3,no
1106,Boeing 777 / A330,Solo Leisure,Economy Class,Izmir to Montreal via Istanbul,November 2018,4,5,5,5,4,,5,yes
1107,A320,Business,Economy Class,Tel Aviv to Brussels via Istanbul,October 2018,1,4,1,3,3,1,1,no
1108,Boeing 737-800,Solo Leisure,Economy Class,Izmir to Istanbul,August 2018,5,5,5,4,5,,5,yes
1109,,Solo Leisure,Economy Class,Cairo to Dublin via Istanbul,November 2018,2,2,1,1,1,1,1,no
1110,,Business,Economy Class,Gatwick to Istanbul,November 2018,,,,,1,,1,no
1111,A330-300,Solo Leisure,Economy Class,Istanbul to Montreal,October 2018,4,5,5,4,3,4,5,yes
1112,,Family Leisure,Economy Class,San Francisco to Budapest via Istanbul,October 2018,2,2,2,2,1,1,1,no
1113,,Business,Economy Class,Cologne to Bogota via Istanbul,November 2018,3,3,4,4,3,3,2,no
1114,Boeing 777-300,Solo Leisure,Economy Class,Boston to Rome via Istanbul,October 2018,1,2,3,3,1,1,1,no
1115,Boeing 737-800,Solo Leisure,Business Class,Istanbul to Baku,November 2018,4,5,5,5,2,,5,yes
1116,,Solo Leisure,Economy Class,London to Izmir via Istanbul,November 2018,5,5,5,,5,,5,yes
1117,Boeing 737-800,Solo Leisure,Business Class,Istanbul to Antalya,November 2018,5,5,4,3,5,,5,yes
1118,,Family Leisure,Economy Class,Istanbul to Cairo,November 2018,1,1,1,1,2,1,2,no
1119,,Solo Leisure,Economy Class,Paris to Istanbul via Doha,October 2018,2,2,4,3,1,1,3,no
1120,,Couple Leisure,Economy Class,Dublin to Cape Town via Istanbul,October 2018,3,3,3,5,3,1,4,yes
1121,Boeing 777-300ER,Solo Leisure,Business Class,Istanbul to New York JFK,October 2018,4,5,4,,5,,5,yes
1122,A330,Solo Leisure,Economy Class,Johannesburg to Istanbul,October 2018,5,5,5,4,5,1,5,yes
1123,,Solo Leisure,Economy Class,London to Istanbul,October 2018,,,,,1,,1,no
1124,,Couple Leisure,Economy Class,Istanbul to Izmir,September 2018,3,3,,,2,,2,no
1125,A321 / A330,Business,Business Class,Cape Town to Gatwick via  Istanbul,October 2018,4,4,5,4,3,5,4,yes
1126,,Solo Leisure,Economy Class,Prague to Washington via Istanbul,October 2018,1,2,3,3,2,,1,no
1127,,Family Leisure,Economy Class,Lahore to Atlanta via Istanbul,October 2018,1,1,1,1,1,1,1,no
1128,,Couple Leisure,Economy Class,Edinburgh to Thessaloniki via Istanbul,October 2018,4,5,4,5,5,,4,yes
1129,A321 / A333,Solo Leisure,Economy Class,Lvov to Johannesburg via Istanbul,September 2018,4,5,5,4,5,4,4,yes
1130,,Couple Leisure,Economy Class,Istanbul to Miami,October 2018,1,1,1,1,1,1,1,no
1131,A330,Couple Leisure,Economy Class,Istanbul to London,October 2018,1,1,1,1,1,1,1,no
1132,A321 / Boeing 737-800,Couple Leisure,Economy Class,Lisbon to Sharm el-Sheikh via Istanbul,September 2018,3,5,5,5,4,,4,yes
1133,,Business,Economy Class,Beijing to Istanbul,August 2018,4,5,4,5,1,4,4,no
1134,,Solo Leisure,Economy Class,Yaoundé to Washington via Istanbul,September 2018,3,3,3,3,1,3,2,no
1135,,Business,Economy Class,Istanbul to Vienna,October 2018,3,3,3,4,1,2,3,no
1136,A319,Couple Leisure,Economy Class,Cluj to Istanbul,September 2018,5,5,4,,3,,4,yes
1137,,Business,Business Class,London to Addis Ababa via Istanbul,September 2018,1,3,3,2,1,,2,no
1138,Boeing 737-800,Couple Leisure,Economy Class,Istanbul to Neveshir,September 2018,2,3,3,1,1,,1,no
1139,,Business,Economy Class,Istanbul to Geneva,September 2018,1,2,3,4,3,2,3,no
1140,A321,Couple Leisure,Economy Class,Zagreb to Kayseri via Istanbul,September 2018,5,5,4,5,4,,5,yes
1141,A330  /A321,Couple Leisure,Business Class,Manchester to Ercan via Istanbul,September 2018,4,4,4,4,3,,5,yes
1142,Boeing 777-300ER,Couple Leisure,Economy Class,Kiev to Chicago via Istanbul,September 2018,2,4,4,4,1,2,1,no
1143,,Business,Economy Class,Valencia to Odessa via Istanbul,August 2018,1,1,,,1,,1,no
1144,,Couple Leisure,Economy Class,Venice to Nairobi via Istanbul,August 2018,3,3,3,3,1,1,3,no
1145,TK84,Family Leisure,Economy Class,Gothenburg to Manila via Istanbul,September 2018,1,1,1,1,1,1,1,no
1146,,Family Leisure,Economy Class,Dalaman to Istanbul,September 2018,3,4,3,,3,3,4,yes
1147,Boeing 737-800,Family Leisure,Economy Class,Istanbul to Dalaman,September 2018,4,3,3,3,4,,4,yes
1148,,Family Leisure,Business Class,Antalya to Istanbul,April 2018,4,4,4,3,4,,3,yes
1149,,Solo Leisure,Economy Class,Venice to Houston via Istanbul,September 2018,2,2,3,2,1,1,1,no
1150,Boeing 777-300,Couple Leisure,Economy Class,Antalya to Sydney via Istanbul / Bangkok,September 2018,4,4,4,4,1,,3,no
1151,,Business,Business Class,Abidjan to Beirut via Istanbul,September 2018,3,3,3,3,1,,2,no
1152,Boeing 737,Family Leisure,Economy Class,Istanbul to Izmir,August 2018,5,5,5,,5,,5,no
1153,A330,Family Leisure,Economy Class,Washington to Istanbul,September 2018,4,5,3,5,4,,5,yes
1154,,Solo Leisure,Economy Class,Doha to Aqaba via Istanbul,September 2018,3,1,4,3,1,1,2,no
1155,Boeing 777-300ER,Solo Leisure,Business Class,Istanbul to New York JFK,July 2018,3,4,4,4,3,3,4,yes
1156,A330-300 / A321-200,Family Leisure,Economy Class,Dhaka to London via Istanbul,September 2018,4,1,3,5,1,5,3,no
1157,A330-300 / Boeing 777-300ER,Solo Leisure,Business Class,Bangkok to London via Istanbul,September 2018,3,5,2,4,1,,4,yes
1158,Boeing 737,Couple Leisure,Business Class,Istanbul to Prague,August 2018,4,3,4,3,1,,3,yes
1159,,Solo Leisure,Business Class,Bangkok to Istanbul,August 2018,3,4,5,3,4,3,3,yes
1160,A321-232,Solo Leisure,Economy Class,Zürich to Denizli via Istanbul,August 2018,5,5,5,5,5,5,5,yes
1161,,Solo Leisure,Economy Class,Berlin to Singapore via Istanbul,March 2018,1,2,4,2,1,,3,no
1162,A330-300,Couple Leisure,Business Class,Bangkok to Amsterdam via Istanbul,August 2018,4,4,4,4,2,3,4,yes
1163,,Solo Leisure,Economy Class,Amsterdam to Istanbul,August 2018,1,1,1,1,1,1,1,no
1164,,Solo Leisure,Economy Class,Lahore to Istanbul,August 2018,2,4,2,3,1,1,3,no
1165,,Solo Leisure,Economy Class,Dubrovnik to Kuala Lumpur via Istanbul,August 2018,2,3,3,3,1,,1,no
1166,,Solo Leisure,Economy Class,Heathrow to Tashkent via Istanbul,August 2018,2,2,1,1,1,1,2,no
1167,,Couple Leisure,Economy Class,Malaga to Mumbai via Istanbul,August 2018,3,3,,,1,,1,no
1168,B738 / B777,Couple Leisure,Economy Class,Billund to Bangkok via Istanbul,August 2018,4,3,4,3,3,1,5,yes
1169,,Family Leisure,Economy Class,London Gatwick to Seychelles via Istanbul,August 2018,3,1,2,2,1,,1,no
1170,,Solo Leisure,Economy Class,Dubai to Budapest via Istanbul,August 2018,3,3,3,4,2,,2,no
1171,,Solo Leisure,Economy Class,Detroit to Vienna via Istanbul,August 2018,1,1,1,1,1,1,1,no
1172,Boeing 777,Solo Leisure,Economy Class,New York to Istanbul,August 2018,2,1,4,4,1,1,1,no
1173,A330-300,Business,Economy Class,Montreal to Istanbul,August 2018,4,5,4,5,5,5,5,yes
1174,,Solo Leisure,Economy Class,Karachi to New York JFK via Istanbul,August 2018,2,1,1,2,1,1,1,no
1175,,Solo Leisure,Economy Class,Istanbul to Dubai,August 2018,3,3,2,4,1,1,3,no
1176,,Solo Leisure,Economy Class,Singapore to Tel Aviv via Istanbul,May 2018,4,2,4,1,1,,1,no
1177,A330,Solo Leisure,Economy Class,Tehran to Istanbul via Rome,August 2018,4,4,4,4,4,,4,yes
1178,,Solo Leisure,Economy Class,Riga to Colombo via Istanbul,August 2018,3,3,2,2,2,1,2,no
1179,,Family Leisure,Economy Class,Rome to Dubai via Istanbul,August 2018,1,1,1,1,1,1,1,no
1180,,Solo Leisure,Economy Class,Delhi to Salzburg via Istanbul,August 2018,1,1,1,2,3,1,2,no
1181,,Solo Leisure,Economy Class,Washington to Minsk via Istanbul,August 2018,2,2,3,2,1,1,1,no
1182,Boeing 777,Family Leisure,Economy Class,London to Istanbul,August 2018,2,1,1,2,1,1,1,no
1183,,Couple Leisure,Economy Class,Sofia to Cairo via Istanbul,August 2018,2,3,3,4,1,1,2,no
1184,,Family Leisure,Economy Class,Lahore to Toronto via Istanbul,July 2018,1,1,,,1,,1,no
1185,Boeing 777-300er / A330-300,Couple Leisure,Economy Class,Bucharest to Dubai via Istanbul,August 2018,4,5,5,5,2,5,5,yes
1186,,Solo Leisure,Economy Class,Istanbul to Atlanta,July 2018,2,1,,2,3,,1,no
1187,A330,Family Leisure,Economy Class,Moscow to Antalya,June 2018,5,4,1,5,5,1,3,no
1188,,Solo Leisure,Economy Class,London to Istanbul,August 2018,3,3,3,3,1,,2,no
1189,,Business,Economy Class,Kinshasa to Brussels via Istanbul,July 2018,1,2,1,1,1,,1,no
1190,,Business,Economy Class,Riyadh to Kiev via Istanbul,July 2018,3,1,2,2,1,1,2,no
1191,A330-300,Couple Leisure,Economy Class,Bangkok to Istanbul,January 2018,5,5,5,5,5,5,5,yes
1192,not known,Solo Leisure,Economy Class,Atlanta to Cairo via Istanbul,July 2018,1,2,2,,1,,1,no
1193,A320,Solo Leisure,Business Class,Istanbul to Madrid,July 2018,4,4,1,,4,,3,yes
1194,,Business,Business Class,London to Rwanda via Istanbul,July 2018,1,2,2,2,2,2,2,no
1195,A330-200 / A321-200,Family Leisure,Economy Class,Caracas to Munich via Istambul,July 2018,5,5,5,5,5,2,5,yes
1196,,Business,Economy Class,Amsterdam to Ankara via Istanbul,July 2018,1,1,1,1,1,1,1,no
1197,,Couple Leisure,Business Class,Mumbai to Helsinki via Instanbul,July 2018,1,2,2,2,1,,1,no
1198,Boeing 777,Solo Leisure,Business Class,Manila to Istanbul,July 2018,3,1,1,2,2,1,1,no
1199,Boeing 777-300ER,Solo Leisure,Economy Class,Tel Aviv to Manila via Istanbul,June 2018,3,1,2,4,3,,1,no
1200,,Couple Leisure,Premium Economy,Kayseri to Bucharest via Istanbul,July 2018,1,1,1,1,1,1,1,no
1201,,Couple Leisure,Economy Class,Los Angeles to Bucharest via Istanbul,July 2018,4,4,5,4,1,4,1,no
1202,Boeing 777-300ER & A321,Business,Business Class,Singapore to Venice via Istanbul,July 2018,4,5,5,5,3,5,5,yes
1203,Boeing 777-300ER,Business,Economy Class,Manila to Tel Aviv via Istanbul,May 2018,4,1,2,5,3,,2,no
1204,,Business,Business Class,Berlin to Singapore via Istanbul,July 2018,3,4,3,4,1,1,3,no
1205,,Solo Leisure,Economy Class,Washington to Istanbul,May 2018,2,1,2,2,1,2,2,no
1206,A321/A330,Solo Leisure,Economy Class,Ljubljana to Bangkok via Istanbul,June 2018,4,5,5,5,5,4,5,yes
1207,,Solo Leisure,Business Class,Calgary to Nairobi via Istanbul,July 2018,1,1,1,1,1,1,1,no
1208,,Solo Leisure,Economy Class,Minsk to Beirut via Istanbul,July 2018,1,2,2,1,1,,1,no
1209,Boeing 777-300ER,Solo Leisure,Economy Class,Istanbul to Singapore,April 2018,3,5,5,5,5,,5,yes
1210,Boeing 777,Solo Leisure,Business Class,Istanbul to Manila,May 2018,2,1,1,1,1,1,1,no
1211,,Business,Economy Class,Paris to Seoul via Istanbul,June 2018,2,3,2,2,1,1,1,no
1212,,Solo Leisure,Economy Class,Algiers to Manchester via Istanbul,June 2018,3,1,1,1,1,1,1,no
1213,,Couple Leisure,Economy Class,Zagreb to Singapore via Istanbul,June 2018,4,5,3,5,5,,5,yes
1214,Boeing 777-300ER,Couple Leisure,Economy Class,Zurich to Delhi via Istanbul,June 2018,2,2,2,2,1,1,1,no
1215,,Family Leisure,Economy Class,Los Angeles to Tirana via Istanbul,April 2018,3,1,3,1,1,1,1,no
1216,A321-200,Business,Business Class,Istanbul to Duesseldorf,June 2018,1,1,2,1,1,1,2,no
1217,Boeing 777,Business,Economy Class,New York to Istanbul,June 2018,1,1,1,1,1,1,1,no
1218,,Solo Leisure,Economy Class,Oporto to Bangkok via Istanbul,June 2018,1,5,4,3,1,1,3,no
1219,,Solo Leisure,Economy Class,Singapore to Belgrade via Istanbul,May 2018,3,1,1,3,1,,1,no
1220,,Business,Economy Class,Istanbul to Zurich,June 2018,1,4,3,1,3,1,1,no
1221,,Solo Leisure,Economy Class,Paris CDG to Kenya Mombasa via Istanbul,June 2018,2,3,3,1,1,,1,no
1222,A321,Solo Leisure,Economy Class,NAV to IST,June 2018,1,3,3,1,2,1,2,no
1223,,Solo Leisure,Economy Class,Miami to Istanbul,June 2018,5,5,5,5,4,,5,yes
1224,,Solo Leisure,Economy Class,Toulouse to Singapore via Istanbul,August 2017,2,2,3,3,1,,2,no
1225,Boeing 777-300ER,Family Leisure,Economy Class,Miami to Bucharest,June 2018,4,5,5,5,5,,5,yes
1226,,Solo Leisure,Economy Class,Chicago to Sarajevo via Istanbul,June 2018,3,3,3,3,2,3,2,no
1227,,Solo Leisure,Business Class,Chicago to Istanbul,May 2018,5,5,5,,5,,5,yes
1228,,Business,Economy Class,Istanbul to Pristina,June 2018,3,4,3,3,3,,1,no
1229,,Family Leisure,Economy Class,Seychelles to Dublin via Istanbul,June 2018,4,5,4,4,5,,5,yes
1230,Boeing 777-300ER,Couple Leisure,Economy Class,Istanbul to Bangkok,December 2017,5,5,5,4,2,4,5,yes
1231,,Business,Economy Class,Mogadishu to Amsterdam via Istanbul,May 2018,2,2,1,1,2,,1,no
1232,,Family Leisure,Economy Class,Boston to Cairo via Istanbul,June 2018,1,2,4,4,1,2,2,no
1233,A321-200,Solo Leisure,Economy Class,Istanbul to Geneva,June 2018,1,1,2,2,1,,1,no
1234,A320,Business,Economy Class,Prague to Tbilisi via Istanbul,May 2018,5,5,5,3,4,,5,yes
1235,,Couple Leisure,Economy Class,London to Jordan via Istanbul,May 2018,1,1,1,1,1,1,2,no
1236,A321-200,Couple Leisure,Economy Class,Hamburg to Istanbul,December 2017,5,5,5,5,5,5,5,yes
1237,,Solo Leisure,Economy Class,New York to Istanbul,June 2018,1,1,,,1,,1,no
1238,A321,Couple Leisure,Economy Class,Rome to Tel Aviv via Istanbul,May 2018,4,5,5,,4,,5,yes
1239,,Family Leisure,Economy Class,Houston to Munich via Istanbul,May 2018,1,2,2,2,1,,2,no
1240,,Solo Leisure,Economy Class,Pisa to Istanbul,May 2018,1,1,1,1,1,1,1,no
1241,A330-200,Solo Leisure,Economy Class,Chicago to Cape Town via Istanbul,March 2018,4,5,5,4,5,,5,yes
1242,Boeing 777-300ER,Solo Leisure,Economy Class,Chicago to Zagreb via Istanbul,May 2018,4,5,5,4,5,,5,yes
1243,,Family Leisure,Economy Class,Mumbai to Djibouti via Istanbul,May 2018,2,2,,,1,,1,no
1244,,Family Leisure,Economy Class,Antalya to London via Istanbul,May 2018,2,2,1,,1,1,1,no
1245,,Solo Leisure,Economy Class,Denpasar to Budapest via KUL / IST,May 2018,4,3,3,4,1,,2,no
1246,Boeing 737,Couple Leisure,Economy Class,Muscat to Brussels via Istanbul,March 2018,4,4,4,4,4,,5,yes
1247,Boeing 777-300ER,Business,Business Class,Amsterdam to Seoul via Istanbul,May 2018,3,5,2,4,3,2,2,no
1248,,Solo Leisure,Economy Class,Boston to Kathmandu via Istanbul,May 2018,2,3,3,2,1,2,1,no
1249,Boeing 777-300ER,Solo Leisure,Economy Class,Toronto to Mumbai via Istanbul,May 2018,4,5,5,5,3,1,4,yes
1250,,Family Leisure,Economy Class,Istanbul to Athens,May 2018,3,4,3,5,4,5,5,yes
1251,,Solo Leisure,Economy Class,Dusseldorf to Mumbai via Istanbul,April 2018,1,1,1,1,2,,1,no
1252,Boeing 737-800,Solo Leisure,Economy Class,Istanbul to Podgorica,April 2018,5,4,5,,4,,5,yes
1253,,Couple Leisure,Economy Class,Los Angeles to Tehran via Istanbul,April 2018,1,1,1,2,1,,1,no
1254,,Family Leisure,Economy Class,Istanbul to Lisbon,May 2018,1,1,2,2,1,1,1,no
1255,,Solo Leisure,Economy Class,Istanbul to Los Angeles,April 2018,1,2,1,3,1,,3,no
1256,,Business,Business Class,Singapore to Dusseldorf via Istanbul,April 2018,2,4,3,3,3,,2,no
1257,A321,Couple Leisure,Economy Class,London Heathrow to Istanbul,April 2018,4,4,5,4,4,,5,yes
1258,,Solo Leisure,Economy Class,Düsseldorf to Kathmandu via Istanbul,April 2018,3,2,,,1,,1,no
1259,,Solo Leisure,Economy Class,Johannesburg to Houston via Istanbul,March 2018,2,2,4,3,1,,2,no
1260,,Business,Economy Class,Pristina to Islamabad via Istanbul,April 2018,3,3,1,1,1,1,2,no
1261,,Business,Economy Class,Dubai to Hanover via Istanbul,April 2018,3,3,,,1,,1,no
1262,,Business,Economy Class,New York JFK to Istanbul,April 2018,1,1,1,,1,,2,no
1263,,Family Leisure,Economy Class,Istanbul to Sarajevo,April 2018,1,1,1,,1,,1,no
1264,,Couple Leisure,Economy Class,Kayseri to Istanbul,April 2018,5,5,5,5,4,,4,yes
1265,A330 / A321,Business,Business Class,Washington to Vienna via Istanbul,April 2018,3,4,4,4,4,4,4,yes
1266,,Family Leisure,Economy Class,Cairo to San Francisco via Istanbul,April 2018,1,3,2,3,1,,1,no
1267,Boeing 777-300,Solo Leisure,Economy Class,Taipei to Bremen via Istanbul,April 2018,2,2,4,2,1,,1,no
1268,Boeing 777,Business,Business Class,Beijing to Istanbul,April 2018,3,4,3,5,1,4,4,yes
1269,,Solo Leisure,Economy Class,Bangkok to Berlin via Istanbul,April 2018,1,2,1,1,3,,1,no
1270,,Solo Leisure,Economy Class,Riyadh to Istanbul,April 2018,2,2,1,3,1,1,1,no
1271,,Couple Leisure,Economy Class,Shanghai to Paris CDG via Istanbul,May 2017,3,1,2,3,2,,2,no
1272,,Solo Leisure,Economy Class,Gatwick to Antananarivo via Istanbul,March 2018,1,1,1,3,1,,1,no
1273,,Solo Leisure,Economy Class,Boston to Tehran via Istanbul,March 2018,2,3,2,3,2,1,1,no
1274,A330,Family Leisure,Economy Class,Madrid to Alexandria via Istanbul,March 2018,2,2,3,3,1,,3,no
1275,Boeing 777,Business,Business Class,Bangkok to Houston via Istanbul,March 2018,4,5,3,4,1,5,2,no
1276,Boeing 777 / A320,Family Leisure,Business Class,New York to Tel Aviv via Istanbul,March 2018,4,5,4,4,4,3,5,yes
1277,Boeing 777,Solo Leisure,Business Class,Mauritius to Dublin via Istanbul,January 2018,2,4,2,4,1,,2,no
1278,Boeing 777/300,Business,Business Class,Izmir to Bangkok via Istanbul,March 2018,5,4,5,5,4,5,5,yes
1279,A330 / Boeing 777,Couple Leisure,Economy Class,Berlin to Kuala Lumpur via Istanbul,February 2018,3,3,5,5,5,,3,yes
1280,,Solo Leisure,Economy Class,Mumbai to Houston via Istanbul,February 2018,5,5,5,5,5,,1,no
1281,Boeing 777-300,Business,Business Class,Bucharest to Houston via Istanbul,March 2018,2,3,4,3,1,4,1,no
1282,,Solo Leisure,Business Class,Moscow to Manila via Istanbul,February 2018,5,4,4,4,5,,5,yes
1283,,Solo Leisure,Economy Class,Istanbul to Tel Aviv,February 2018,5,4,4,4,5,,5,yes
1284,Boeing 777-300ER,Solo Leisure,Business Class,Houston to Dubai via Istanbul,February 2018,3,1,2,,1,,1,no
1285,,Solo Leisure,Economy Class,Houston to Istanbul,March 2018,1,1,2,2,1,1,2,no
1286,,Business,Economy Class,London to Istanbul,March 2018,3,3,,,1,,1,no
1287,,Solo Leisure,Business Class,Jakarta to Istanbul,September 2017,3,4,5,3,4,,4,yes
1288,Boeing 777,Family Leisure,Economy Class,Istanbul to Guangzhou,January 2018,2,3,3,,1,,1,no
1289,,Solo Leisure,Economy Class,Manchester to Kuala Lumpur via Istanbul,February 2018,1,1,3,3,2,,2,no
1290,A330-300,Solo Leisure,Business Class,Istanbul to London,February 2018,4,4,4,4,3,4,3,yes
1291,A330-200,Solo Leisure,Economy Class,London Heathrow to Istanbul,February 2018,4,4,4,4,4,,4,yes
1292,A330 - B777,Family Leisure,Business Class,Tel Aviv to New York via Istanbul,February 2018,5,4,5,5,1,5,3,no
1293,A321 / Boeing 737-800,Family Leisure,Economy Class,Gothenburg to Malta via Istanbul,February 2018,5,5,5,5,3,3,5,yes
1294,A320,Couple Leisure,Business Class,Belgrade to Munich via Istanbul,January 2018,5,5,5,5,5,5,5,yes
1295,,Business,Economy Class,Thessaloniki to Bilbao via Instanbul,February 2018,1,2,2,1,1,,1,no
1296,,Business,Economy Class,Chicago to Lagos via Istanbul,February 2018,,,,,,,1,no
1297,A321,Solo Leisure,Economy Class,Stockholm to Istanbul,February 2018,3,4,4,3,4,,5,yes
1298,A321,Couple Leisure,Economy Class,Brussels to Panama City via Istanbul,February 2018,1,3,3,,1,,1,no
1299,A330,Business,Economy Class,Istanbul to Berlin,February 2018,4,5,5,5,4,,5,yes
1300,,Business,Economy Class,London to Istanbul,February 2018,1,,,,1,,1,no
1301,A321,Business,Economy Class,Odessa to Taipei via Istanbul,February 2018,1,4,,,1,,1,no
1302,,Business,Economy Class,Istanbul to Cairo,January 2018,2,1,1,1,1,1,1,no
1303,A330-300 / Boeing 777-300,Couple Leisure,Business Class,Cape Town to London via Istanbul,February 2018,4,4,4,5,3,4,5,yes
1304,,Solo Leisure,Economy Class,Tbilisi to Stockholm via Istanbul,January 2018,4,5,5,,2,,4,yes
1305,A330-300,Couple Leisure,Business Class,London to Cape Town via Istanbul,January 2018,5,5,5,4,3,4,5,yes
1306,A330-300,Couple Leisure,Business Class,Montreal to Mauritius via Istanbul,December 2017,4,4,4,,1,,3,no
1307,A330,Solo Leisure,Economy Class,Amsterdam to New York via Istanbul,January 2018,3,4,5,5,5,,4,yes
1308,"A321, Boeing 737 -900",Couple Leisure,Economy Class,Brussels to Dar es Salaam via Istanbul,January 2018,2,2,3,3,3,2,3,no
1309,,Solo Leisure,Economy Class,Frankfurt to Karachi,January 2018,1,1,1,1,1,1,1,no
1310,,Solo Leisure,Economy Class,Istanbul to San Francisco,January 2018,1,3,2,1,5,,5,no
1311,Boeing 777-300E,Solo Leisure,Business Class,Kosice to Singapore via Istanbul,January 2018,2,3,3,3,1,1,3,no
1312,Boeing 777-300ER,Solo Leisure,Business Class,Chicago to Istanbul,November 2017,4,5,5,5,5,,5,yes
1313,A330,Business,Economy Class,Istanbul to Montreal,January 2018,4,5,5,4,3,5,5,yes
1314,A330,Couple Leisure,Economy Class,Napoli to Kuala Lumpur via Istanbul,January 2018,1,1,,2,1,,1,no
1315,A321 / Boeing 737-800,Business,Business Class,London to Thessaloniki via Istanbul,January 2018,4,4,2,3,1,,1,no
1316,A320 / A330,Couple Leisure,Economy Class,Ljubljana to Ho Chi Minh City via Istanbul,January 2018,4,5,5,5,4,,5,yes
1317,Boeing777,Solo Leisure,Economy Class,Istanbul to New York City,January 2018,5,5,5,5,5,5,5,yes
1318,,Solo Leisure,Economy Class,Istanbul to Marseille,January 2018,4,5,5,5,5,1,5,yes
1319,Boeing 777-300 / A321,Family Leisure,Business Class,Miami to Munich via Istanbul,December 2017,4,3,3,1,4,,5,yes
1320,A320,Solo Leisure,Economy Class,İstanbul to Antalya,January 2018,4,4,4,,5,,3,yes
