,Aircraft,Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Cabin_Staff_Service,Food_Beverages,Inflight_Entertainment,Ground_Service,Wifi_Connectivity,Value_For_Money,Recommended
95,A350-900,Family Leisure,Economy Class,Vienna to Jakarta via Istanbul,August 2023,1,3,3,4,1,,1,no
96,A330 / A321,Solo Leisure,Business Class,Bangkok to Munich via istanbul,August 2023,4,5,3,3,1,5,3,no
97,,Solo Leisure,Economy Class,Delhi to Stockholm via Istanbul,July 2023,3,5,3,3,1,,1,no
98,,Solo Leisure,Economy Class,Stuttgart to Manila via Istanbul,July 2023,2,1,1,4,1,,1,no
99,,Solo Leisure,Economy Class,Sarajevo to Istanbul,August 2023,2,4,3,1,1,,2,no
100,Boeing 777 / A350,Solo Leisure,Economy Class,China to Chicago via Istanbul,August 2023,1,1,1,1,1,1,1,no
101,A330-200/300,Family Leisure,Economy Class,Dubai to Heathrow via Istanbul,August 2023,1,1,,,1,,1,no
102,,Family Leisure,Economy Class,Heathrow to Dubai via Istanbul,August 2023,1,1,1,1,1,1,1,no
103,A330,Business,Business Class,Dubai to Lagos via Istanbul,August 2023,1,3,3,2,1,3,1,no
104,,Family Leisure,Economy Class,Abuja to London,August 2023,3,3,2,2,1,1,1,no
105,A330,Business,Economy Class,Istanbul to Milano Malpensa,August 2023,5,5,5,5,5,,5,yes
106,,Couple Leisure,Economy Class,Amsterdam to Bishkek via Istanbul,August 2023,1,2,,,1,,1,no
107,,Couple Leisure,Economy Class,Dubai to Chisinau via Istanbul,July 2023,1,1,1,1,2,1,1,no
108,,Family Leisure,Economy Class,San Francisco to Jordan,July 2023,1,1,1,2,1,1,1,no
109,,Couple Leisure,Economy Class,Dammam to Antalya via Istanbul,June 2023,2,2,3,,3,,2,no
110,,Couple Leisure,Economy Class,Constanta to Delhi via Istanbul,July 2023,3,3,2,2,4,,4,yes
111,,Business,Economy Class,Los Angeles to Beirut via Istanbul,July 2023,2,4,5,5,1,5,1,no
112,,Family Leisure,Economy Class,Mumbai to Zurich via Istanbul,August 2023,1,1,,,1,,1,no
113,A330-300/Boeing 777-300er,Business,Economy Class,Miami to Bangkok via Istanbul,July 2023,1,4,4,1,1,4,3,no
114,,Couple Leisure,Economy Class,Riga to Chisinau via Istanbul,July 2023,3,1,1,,1,,1,no
115,,Couple Leisure,Economy Class,Miami to Bucharest via Istanbul,July 2023,,,,,5,,5,yes
116,,Family Leisure,Economy Class,Istanbul to Munich,July 2023,3,3,2,2,1,,1,no
117,,Solo Leisure,Economy Class,Amman to Dallas via Istanbul,July 2023,5,5,5,5,5,5,5,yes
